Total_ASVs	Freq
2	1
4	1
8	1
16	1
18	1
136	1
254	1
350	1
851	1
882	1
957	1
975	1
1043	1
1140	1
1150	1
1246	1
1307	1
1345	1
1356	1
1369	1
1410	1
1416	1
1429	1
1462	1
1471	1
1518	1
1524	1
1536	1
1538	1
1540	1
1542	1
1546	1
1566	1
1600	1
1623	1
1637	1
1638	1
1652	1
1674	1
1685	1
1689	1
1699	1
1707	1
1725	1
1742	1
1748	1
1759	1
1761	1
1776	1
1802	1
1810	1
1812	1
1813	1
1815	1
1819	1
1846	1
1847	1
1853	1
1867	1
1870	1
1872	1
1882	1
1884	1
1887	1
1897	1
1909	1
1913	1
1920	1
1927	1
1942	1
1945	1
1947	1
1948	1
1960	1
1963	1
1975	1
1979	1
1985	1
1992	1
1993	1
2000	1
2015	1
2019	1
2023	1
2025	1
2031	1
2033	1
2041	1
2049	1
2054	1
2060	1
2064	1
2077	1
2103	1
2108	1
2110	1
2116	1
2117	1
2121	1
2138	1
2144	1
2146	1
2159	2
2160	1
2161	1
2165	1
2169	1
2173	1
2177	1
2193	1
2195	1
2207	1
2221	1
2222	1
2241	1
2254	1
2257	2
2263	1
2265	1
2266	1
2307	1
2318	1
2322	1
2340	1
2343	1
2348	1
2352	1
2355	1
2365	2
2376	2
2380	1
2393	1
2416	2
2434	1
2444	1
2446	1
2457	1
2459	2
2487	1
2493	1
2497	1
2512	1
2525	1
2557	1
2570	1
2577	1
2580	1
2583	1
2594	1
2600	1
2602	1
2641	1
2664	1
2693	1
2694	1
2699	1
2703	1
2711	1
2715	1
2736	1
2750	1
2754	1
2757	1
2758	1
2784	1
2791	1
2796	1
2803	1
2821	1
2822	1
2854	1
2862	1
2867	1
2868	1
2889	1
2896	1
2950	1
2958	1
2974	1
3001	2
3013	1
3028	1
3039	1
3047	1
3060	1
3073	1
3078	1
3082	1
3091	1
3092	1
3093	1
3107	1
3108	1
3112	1
3116	2
3141	1
3157	1
3170	1
3177	1
3191	1
3200	1
3202	1
3204	2
3230	1
3245	1
3251	1
3267	1
3270	1
3280	1
3319	1
3348	1
3351	1
3390	1
3400	1
3411	1
3418	1
3422	1
3437	1
3452	1
3461	1
3471	1
3472	1
3499	1
3501	1
3523	1
3543	1
3568	1
3569	1
3573	1
3575	1
3592	1
3601	1
3619	1
3621	1
3623	1
3627	1
3630	1
3631	1
3642	1
3647	1
3666	1
3689	1
3704	1
3723	1
3727	1
3730	1
3734	1
3785	1
3792	1
3815	1
3836	1
3842	1
3861	1
3883	1
3977	1
3987	1
4022	1
4028	1
4033	1
4035	1
4143	1
4247	1
4251	1
4297	1
4352	1
4372	1
4665	1
4675	1
4691	1
4699	1
4723	1
4724	1
4751	1
4891	1
4970	1
4990	1
5018	1
5058	1
5083	1
5216	1
5229	1
5238	1
5320	1
5330	1
5670	1
5763	1
6041	1
6112	1
6147	1
6150	1
6169	1
6284	1
6706	1
6903	1
6951	1
7013	1
7247	1
7274	1
7353	1
8001	1
8033	1
8186	1
8756	1
