Total_samples	Freq
1	27657
2	1261
3	654
4	577
5	520
6	500
7	465
8	415
9	417
10	455
11	406
12	347
13	391
14	359
15	326
16	309
17	326
18	299
19	291
20	278
21	250
22	299
23	266
24	252
25	226
26	243
27	202
28	237
29	235
30	230
31	229
32	228
33	188
34	221
35	177
36	196
37	160
38	156
39	172
40	167
41	159
42	125
43	155
44	133
45	147
46	119
47	121
48	127
49	137
50	114
51	132
52	121
53	110
54	124
55	111
56	94
57	108
58	92
59	79
60	109
61	84
62	105
63	79
64	93
65	97
66	93
67	87
68	82
69	91
70	97
71	65
72	82
73	77
74	63
75	71
76	74
77	62
78	57
79	69
80	66
81	62
82	51
83	73
84	51
85	59
86	54
87	63
88	46
89	50
90	55
91	61
92	44
93	51
94	50
95	34
96	48
97	43
98	54
99	34
100	54
101	45
102	41
103	40
104	43
105	41
106	42
107	37
108	32
109	44
110	42
111	42
112	35
113	31
114	34
115	40
116	25
117	37
118	38
119	27
120	20
121	21
122	35
123	38
124	37
125	24
126	26
127	22
128	19
129	24
130	17
131	14
132	26
133	24
134	17
135	20
136	32
137	16
138	20
139	27
140	18
141	28
142	21
143	13
144	25
145	14
146	18
147	19
148	16
149	13
150	18
151	11
152	14
153	13
154	11
155	16
156	17
157	18
158	19
159	17
160	10
161	9
162	14
163	10
164	19
165	16
166	6
167	11
168	12
169	15
170	15
171	6
172	12
173	15
174	8
175	7
176	10
177	11
178	5
179	10
180	4
181	12
182	8
183	11
184	13
185	6
186	9
187	4
188	6
189	8
190	5
191	4
192	7
193	6
194	8
195	5
196	4
197	5
198	4
199	7
200	8
201	5
202	8
203	5
204	4
205	11
206	6
207	4
208	4
209	8
210	4
211	3
212	6
213	5
214	5
215	6
216	5
217	4
218	4
219	5
220	5
221	1
222	8
223	4
224	4
225	6
226	4
227	7
228	6
229	5
230	9
231	6
232	3
233	3
234	8
235	2
236	3
237	2
238	7
239	2
240	6
241	3
242	2
243	4
244	1
245	2
246	1
247	3
248	2
249	1
250	2
251	2
252	3
253	7
254	1
255	2
256	2
257	1
258	3
259	4
260	3
261	7
262	4
263	4
264	8
265	3
266	1
267	1
268	5
269	1
270	4
271	6
272	2
273	5
274	2
275	2
276	6
277	4
278	1
279	5
280	1
281	1
283	4
284	3
285	3
286	3
287	3
288	2
290	4
291	2
292	2
293	2
294	6
295	3
296	2
297	1
298	8
300	2
301	3
302	2
303	3
304	1
305	1
306	1
307	1
